plan_id,event_date,known_by,date_basis,event_type,status_after,in_effect_for_2026,court_case,source_url,notes,_state,_confidence,_left_censored,_resolution_days,_days_present,_last_seen,_page,_section,_evidence
,,2025-01-20,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,medium,yes,-1,156,2025-07-16,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Florida | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | A state circuit judge ruled in September 2023 that the map passed by the state legislature discriminated against Black voters by redrawing the formerly plurality-Black 5th district to no longer have a Black plurality; Florida appe"
,,2025-01-20,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,GA,medium,yes,-1,200,2025-08-29,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Georgia | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | A federal district judge ruled on October 26, 2023, that Georgia's districts are racially gerrymandered and ordered a new map with an additional majority-Black district. A new map was drawn for the 2024 elections; however it is be"
,,2025-01-20,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,OH,medium,yes,-1,150,2025-07-09,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Ohio | data-sort-value=1 bgcolor=""#FFFFFF"" | TBD congressional map | Ohio voters amended the constitution in 2018, creating a process that requires both Republicans and Democrats in the state legislature to vote on the new congressional map. However, in the 2020 redistricting cycle, Democrats did n"
,,2025-01-20,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,medium,yes,-1,11,2025-02-01,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | Utah Supreme Court heard arguments in July 2023 in suit alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters into all 4 of Utah's districts, the Supreme Cour"
,,2025-02-02,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,high,,1,6,2025-02-08,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | Utah Supreme Court heard arguments in July 2023 in suit alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters into all 4 of Utah's districts. The case was sen"
,,2025-02-09,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,high,,1,3,2025-02-11,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | Utah Supreme Court heard arguments in July 2023 in suit alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters into all four of Utah's districts. The case was "
,,2025-02-12,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,high,,1,125,2025-07-03,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | Utah Supreme Court heard arguments in July 2023 in a lawsuit alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters into all four of Utah's districts. The case"
,,2025-05-10,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,WI,high,,1,32,2025-06-12,2026 United States House of Representatives elections,Crossover seats > Democratic,"! Wisconsin | data-sort-value=""1"" bgcolor=""#FFFFFF"" | Litigation pending | On May 8, 2025 a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court on the basis of partisan gerrymandering favoring Republicans. The court has yet to take on the case. | colspan="
,,2025-06-13,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,WI,high,,1,5,2025-06-17,2026 United States House of Representatives elections,Crossover seats > Democratic,"! Wisconsin | data-sort-value=""1"" bgcolor=""#FFFFFF"" | Litigation pending | On May 8, 2025, a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court on the basis of partisan gerrymandering favoring Republicans. The court has accepted to take on the case and h"
,,2025-06-18,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,WI,high,,1,6,2025-06-24,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Wisconsin | data-sort-value=""1"" bgcolor=""#FFFFFF"" | Litigation pending | On May 8, 2025, a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court on the basis of partisan gerrymandering favoring Republicans. The court has accepted to take on the case and he"
,,2025-06-25,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,WI,high,,1,28,2025-07-24,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Wisconsin | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | On May 8, 2025, a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court on the basis of partisan gerrymandering favoring Republicans. On June 25, 2025, the Court dismissed"
,,2025-07-04,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,high,,1,51,2025-08-25,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | The Utah Supreme Court heard arguments in July 2023 in League of Women Voters v. Utah State Legislature alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters "
,,2025-07-09,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,low,,1,1,2025-07-09,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | White House officials met with Texas officials to discuss mix-decade redistricting in order to secure 5-6 more republican seats. On July 9th, Governor Greg Abbott officially added redistricting to legislative priorities of a special"
,,2025-07-10,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,OH,medium,,1,62,2025-10-30,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Ohio | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | Ohio voters amended the constitution in 2018, creating a process that requires both Republicans and Democrats in the state legislature to vote on the new congressional map. However, in the 2020 redistricting cycle, Democrats "
,,2025-07-10,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,low,,1,1,2025-07-10,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In early 2025, reports that the Trump Administration were urging Texas officials to visit redrawinf congressional districts. This was followed by a meeting off the Texas republcian congressional delegation to discuss mid-dec"
,,2025-07-11,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,3,2025-07-14,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In early 2025, reports that the Trump Administration were urging Texas officials to visit redrawing congressional districts. This was followed by a meeting off the Texas Republican congressional delegation to discuss mid-dec"
,,2025-07-15,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,37,2025-08-20,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In early 2025, reports that the Trump Administration were urging Texas officials to visit redrawing congressional districts. This was followed by a meeting of the Texas Republican congressional delegation to discuss mid-deca"
,,2025-07-17,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,high,,1,23,2025-08-08,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Florida | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | A state circuit judge ruled in September 2023 that the map passed by the state legislature discriminated against Black voters by redrawing the formerly plurality-Black 5th district to no longer have a Black plurality"
,,2025-07-23,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,,high,,1,98,2025-10-30,2026 United States House of Representatives elections,Crossover seats > Democratic,"+Summary of mid-decade changes to congressional districts in advance of the 2026 election cycle ! rowspan=""2"" | State (linked to summaries below) ! rowspan=""2"" | Status ! rowspan=""2"" class=""unsortable"" | Notes ! rowspan=""2"" class=""unsortable"" | ! colspan=""3"" style=""text-align:center"" | Change in par"
,,2025-07-23,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,AR,high,,1,71,2025-10-02,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Arkansas | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In the case Christian Ministerial Alliance v. Thurston, the plaintiffs alleged racial gerrymandering diluting the voting power of Black voters by splitting Little Rock into three districts; the case was heard in a f"
,,2025-07-23,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,high,,1,8,2025-07-30,2026 United States House of Representatives elections,Crossover seats > Democratic,"! Location ! 2025 PVI Similarly, the Florida Supreme Court also dismissed a challenge regarding the Florida's congressional map, finding a new plurality-Black congressional district would be against federal law. In Georgia, litigation is still ongoing regarding appeals to the newly draw congressiona"
,,2025-07-23,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,LA,medium,,1,2,2025-07-24,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Louisiana | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | The U.S. Supreme Court heard arguments challenging Louisiana's new congressional map drawn in 2024 which created two majority-Black congressional districts as a group of ""non-African American voters"" challenge the "
,,2025-07-25,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,LA,high,,1,79,2025-10-13,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Louisiana | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | The U.S. Supreme Court heard arguments challenging Louisiana's new congressional map drawn in 2024 which created another majority-Black congressional districts as a group of ""non-African American voters"" challenge "
,,2025-07-25,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,WI,high,,1,67,2025-09-30,2026 United States House of Representatives elections,Crossover seats > Democratic,"!Wisconsin | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | On May 8, 2025, a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court based on partisan gerrymandering favoring Republicans. On June 25, 2025, the Court dismissed the ch"
,,2025-07-31,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,medium,,1,2,2025-08-01,2026 United States House of Representatives elections,Crossover seats > Texas redistricting,"Democrats have threatened to retaliate to attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in California , Illinois , Maryland , Minnesota , New Jersey , and New York . In Wisconsin, a challenge to the state's current congression"
,,2025-07-31,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,4,2025-08-03,2026 United States House of Representatives elections,Crossover seats > Texas redistricting,"Governor Greg Abbott has called a special session in Texas to redraw the states congressional districts in order to draw up to 5 more Republican leaning seats. The plan was released on July 30, 2025, though is still subject to change. Similarly a new map is required in Ohio due to an amendment in th"
,,2025-08-02,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,7,2025-08-08,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate to attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in California, Illinois, Maryland, Minnesota, New Jersey and New York. In Wisconsin, a challenge to the state's current congressional map "
,,2025-08-02,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,medium,,1,2,2025-08-03,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Additional Republican efforts have grown as the ""arms race"" has heated up for partisan redistricting, including in Florida, Missouri and Indiana. State senator Dan Innis of New Hampshire has pushed forward legislation to make a Republican leaning district. Moreover, a potential SCOTUS decision on Se"
,,2025-08-04,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,high,,1,7,2025-08-10,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Additional Republican efforts have grown as the ""arms race"" has heated up for partisan redistricting, including in Florida, Missouri, and Indiana."
