state,effective_date,basis,source,notes
TX,2025-08-29,signed,https://ballotpedia.org/Redistricting_ahead_of_the_2026_elections,Governor Abbott signed House Bill 4
MO,2025-09-28,signed,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,Governor Kehoe signed the special-session map
NC,2025-10-22,became_law_without_signature,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,North Carolina does not require the governor's signature for redistricting so there is no signature date to use
OH,2025-10-31,enacted,our archive · wiki status table,The status table first read "New districts enacted" on this date; no signature date was recorded anywhere I could find
CA,2025-11-04,referendum,https://ballotpedia.org/Redistricting_ahead_of_the_2026_elections,SWITCHED 2026-08-24 from the 2025-08-21 signature to the ratification date. The legislature signed on 08-21 but the map could not govern a ballot until voters approved the amendment. Worth 3.6 expected D seats across those 75 days and it moved the largest correction in the archive from +10.09 to +6.66.
UT,2025-11-10,court_imposed,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,Judge Gibson imposed the plaintiffs' Map 1. A court-imposed map has no signature.
FL,2026-05-04,signed,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,DeSantis signed. Passed 2026-04-29.
TN,2026-05-07,signed,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,Both chambers passed and Governor Lee signed the same day
LA,2026-05-29,passed_legislature,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,Passage date; no separate signature date established
AL,2026-06-02,injunction_lifted,https://en.wikipedia.org/wiki/2025%E2%80%932026_United_States_redistricting,The legislature passed it CONDITIONALLY in May to take effect only if the Allen v. Milligan injunction were lifted. There is no date on which a signature made this map operative; the Supreme Court's 6-3 emergency order is that date.
